City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,Taraz,42.9,71.3667,68.41,49,0,6.71,KZ,2022-07-18 21:39:17
128,Leningradskiy,69.3833,178.4167,34.45,89,100,20.74,RU,2022-07-18 21:33:38
129,Kaitangata,-46.2817,169.8464,46.06,92,100,8.43,NZ,2022-07-18 21:34:13
130,Kavaratti,10.5669,72.642,80.1,81,100,22.48,IN,2022-07-18 21:34:34
131,Kazan,55.7887,49.1221,68.61,95,98,2.51,RU,2022-07-18 21:39:18
132,Jimo,36.3897,120.4622,74.98,94,34,2.24,CN,2022-07-18 21:39:18
133,Chokurdakh,70.6333,147.9167,43.07,67,80,13.11,RU,2022-07-18 21:33:40
134,Prince Rupert,54.3161,-130.3201,59.09,85,100,18.41,CA,2022-07-18 21:39:23
135,Saskylakh,71.9167,114.0833,44.58,77,100,12.86,RU,2022-07-18 21:31:07
136,Kodiak,57.79,-152.4072,63.91,55,100,17.27,US,2022-07-18 21:33:04
137,Torbay,47.6666,-52.7314,74.17,63,75,14.97,CA,2022-07-18 21:30:40
138,Honiara,-9.4333,159.95,82.85,69,12,4.61,SB,2022-07-18 21:32:31
139,San Fernando,15.0286,120.6898,82.13,93,99,2.24,PH,2022-07-18 21:39:24
140,Champerico,14.3,-91.9167,93.74,71,57,6.8,GT,2022-07-18 21:33:55
141,Port Alfred,-33.5906,26.891,64.9,57,86,8.81,ZA,2022-07-18 21:32:07
142,Berlevag,70.8578,29.0864,59.0,72,20,4.61,NO,2022-07-18 21:39:24
143,Khatanga,71.9667,102.5,52.77,75,100,2.46,RU,2022-07-18 21:27:26
144,Hasaki,35.7333,140.8333,81.0,85,100,13.22,JP,2022-07-18 21:33:09
145,Norman Wells,65.282,-126.8329,75.24,41,75,8.05,CA,2022-07-18 21:34:12
146,Eirunepe,-6.6603,-69.8736,80.22,76,95,2.3,BR,2022-07-18 21:35:16
147,Sandy Bay,-42.913,147.3532,43.3,84,75,8.05,AU,2022-07-18 21:39:25
148,Russell,32.3502,-85.1999,92.97,49,0,5.75,US,2022-07-18 21:39:25
149,Marsabit,2.3284,37.9899,63.25,62,92,25.5,KE,2022-07-18 21:39:25
150,Osypenko,46.9136,36.8253,61.74,60,0,11.56,UA,2022-07-18 21:39:26
151,Port Keats,-14.25,129.55,64.58,77,11,6.08,AU,2022-07-18 21:39:26
152,Constitucion,-35.3333,-72.4167,50.68,89,90,9.84,CL,2022-07-18 21:34:48
153,Piojo,10.7485,-75.1078,81.16,77,83,14.81,CO,2022-07-18 21:39:26
154,Brae,60.3964,-1.353,55.54,87,72,7.4,GB,2022-07-18 21:39:27
155,Tuscaloosa,33.2098,-87.5692,91.18,46,0,6.91,US,2022-07-18 21:39:27
156,Asau,46.4333,26.4,60.96,75,94,3.15,RO,2022-07-18 21:31:58
157,Nuevo Progreso,23.1667,-97.95,94.53,51,4,16.62,MX,2022-07-18 21:39:27
158,Real,14.6625,121.6047,78.78,87,96,3.74,PH,2022-07-18 21:39:28
159,Don Sak,9.3168,99.6918,79.2,85,85,9.33,TH,2022-07-18 21:39:28
160,Saint-Philippe,-21.3585,55.7679,67.59,84,63,17.92,RE,2022-07-18 21:32:24
161,Puerto Leguizamo,-0.1934,-74.7819,76.62,95,83,1.81,CO,2022-07-18 21:39:28
162,Great Yarmouth,52.6083,1.7305,80.08,55,71,8.14,GB,2022-07-18 21:39:29
163,Green River,41.5286,-109.4662,91.8,25,35,8.99,US,2022-07-18 21:39:29
164,Santa Cruz De Tenerife,28.4682,-16.2546,78.58,89,75,23.02,ES,2022-07-18 21:39:29
165,Belmonte,-15.8631,-38.8828,72.05,75,21,7.02,BR,2022-07-18 21:32:20
166,Zhigansk,66.7697,123.3711,52.03,81,100,14.94,RU,2022-07-18 21:39:30
167,Goure,13.9835,10.2704,81.01,60,56,12.37,NE,2022-07-18 21:39:30
168,Lompoc,34.6391,-120.4579,94.01,54,0,16.11,US,2022-07-18 21:34:26
169,Tadine,-21.55,167.8833,75.54,86,98,10.04,NC,2022-07-18 21:39:30
170,Zhanakorgan,43.9098,67.2495,82.47,30,0,8.19,KZ,2022-07-18 21:39:30
171,Ena,35.4498,137.4128,75.85,97,100,4.5,JP,2022-07-18 21:39:31
172,Griffith,41.5284,-87.4237,89.53,44,40,3.44,US,2022-07-18 21:34:52
173,Santa Maria,-29.6842,-53.8069,52.9,82,0,2.3,BR,2022-07-18 21:35:41
174,Chapais,49.7834,-74.8492,82.18,46,75,5.84,CA,2022-07-18 21:32:17
175,Camacha,33.0833,-16.3333,67.42,73,40,6.91,PT,2022-07-18 21:33:26
176,Narsaq,60.9167,-46.05,61.02,71,100,2.91,GL,2022-07-18 21:32:02
177,Angoram,-4.0625,144.0661,75.63,97,97,1.1,PG,2022-07-18 21:39:31
178,Tigil,57.8,158.6667,62.92,73,100,3.44,RU,2022-07-18 21:39:32
179,Vinh,18.6667,105.6667,80.91,82,98,3.4,VN,2022-07-18 21:39:32
180,Labuhan,-6.8844,112.2051,75.54,86,98,6.85,ID,2022-07-18 21:32:30
181,Bilibino,68.0546,166.4372,47.32,60,100,4.09,RU,2022-07-18 21:39:32
182,Axim,4.8699,-2.2405,74.93,79,95,9.33,GH,2022-07-18 21:32:16
183,Pangnirtung,66.1451,-65.7125,44.6,81,75,14.97,CA,2022-07-18 21:34:34
184,Sistranda,63.7256,8.834,53.56,87,100,16.51,NO,2022-07-18 21:34:28
185,Egvekinot,66.3167,-179.1667,44.22,52,100,12.66,RU,2022-07-18 21:39:38
186,Vila Franca Do Campo,37.7167,-25.4333,72.01,90,38,2.04,PT,2022-07-18 21:32:39
187,Kenai,60.5544,-151.2583,64.49,73,0,18.41,US,2022-07-18 21:28:15
188,Bintulu,3.1667,113.0333,73.81,100,20,0.0,MY,2022-07-18 21:39:38
189,Kavieng,-2.5744,150.7967,82.9,76,100,11.99,PG,2022-07-18 21:33:51
190,Sao Filipe,14.8961,-24.4956,75.97,81,20,10.42,CV,2022-07-18 21:33:48
191,East London,-33.0153,27.9116,68.9,36,7,8.19,ZA,2022-07-18 21:27:26
192,San Francisco,37.7749,-122.4194,98.31,70,20,20.71,US,2022-07-18 21:30:56
193,Tevaitoa,-16.7833,-151.5,76.46,65,42,6.2,PF,2022-07-18 21:39:39
194,Vestmannaeyjar,63.4427,-20.2734,52.0,87,100,13.89,IS,2022-07-18 21:32:48
195,Sobolevo,54.4299,31.8996,55.36,87,94,5.95,RU,2022-07-18 21:34:01
196,Oktyabrskiy,54.4815,53.471,68.13,78,100,3.18,RU,2022-07-18 21:39:39
197,Mackay,-21.15,149.2,56.68,81,0,8.39,AU,2022-07-18 21:39:40
